name,category,sub_category,website,description,february,april,may,average_time_on_website,may_normalized,change_normalized,average_time_normalized,tts,popularity,growth,engagement
Character AI,Design,Avatars,https://beta.character.ai,The AI service provided by the website is a character recognition service. It can be used to identify characters in images and videos.,107065819.000,172954290.000,278856311.000,1730.049,0.987,0.932,1.000,9.867,9.870,9.320,10.000
Leonardo.Ai,Design,3D,https://leonardo.ai,generate production quality assets for your creative projects with ai-driven speed and style-consistency.,6214643.000,11011831.000,14332709.000,663.323,0.957,0.915,0.978,9.612,9.570,9.150,9.780
Canva Text to Image,Design,Image Generator,https://canva.com,"create beautiful designs with your team. use canva's drag-and-drop feature and layouts to design, share and print business cards, logos, presentations and more.",457008343.000,417522543.000,485000200.000,613.677,0.997,0.597,0.977,9.490,9.970,5.970,9.770
ChatGPT,Productivity,Productivity,https://chat.openai.com,"The website at https://chat.openai.com provides an AI service that allows users to chat with a computer-generated artificial intelligence agent. The service is designed to simulate a human conversation, and users can ask the AI agent questions or make statements to it. The service is free to use and does not require registration.",1559913525.000,1756277469.000,1805636262.000,468.851,0.998,0.679,0.944,9.445,9.980,6.790,9.440
Perplexity AI,Customer Support,Search Engine,https://perplexity.ai,"Extremely powerful search engine using the same model as Chat GPT-3. Perplexity AI was launched in August 2022 by a team of heavy hitters from OpenAI, Meta, Quora, and Databrick. The team has its sights set on dethroning ChatGPT. Perplexity AI is free to use, and it can be accessed from their website",15866092.000,15350850.000,20277170.000,519.314,0.960,0.744,0.960,9.384,9.600,7.440,9.600
Amazon CodeWhisperer,Coding,Code Assistant,https://aws.amazon.com/codewhisperer/,"amazon web services offers reliable, scalable, and  inexpensive cloud computing services. free to join, pay only for what you use.",68343944.000,60840965.000,64214804.000,713.323,0.973,0.478,0.988,9.295,9.730,4.780,9.880
Civitai,Design,Art,https://civitai.com,"civitai is a platform for stable diffusion ai art models. we have a collection of over 1,700 models from 250+ creators. we also have a collection of 1200 reviews from the community along with 12,000+ images with prompts to get you started.",36191444.000,34667357.000,34020219.000,850.408,0.965,0.479,0.993,9.276,9.650,4.790,9.930
DeepL,Productivity,Productivity,https://deepl.com,translate texts & full document files instantly. accurate translations for individuals and teams. millions translate with deepl every day.,292092805.000,253729275.000,261036940.000,550.931,0.980,0.434,0.972,9.222,9.800,4.340,9.720
Replit,Coding,Code Assistant,https://replit.com,"replit is a simple yet powerful online ide, editor, compiler, interpreter, and repl. code, compile, run, and host in 50+ programming languages.",14870380.000,13694349.000,13500326.000,693.667,0.955,0.446,0.985,9.161,9.550,4.460,9.850
Creative Reality Studio (D-ID),Content Creation,Video Generator,https://studio.d-id.com,The website provides a service that allows users to create digital images. The service uses artificial intelligence to generate images that are realistic and lifelike.,3912469.000,5462953.000,4899040.000,487.649,0.910,0.737,0.955,9.107,9.100,7.370,9.550
